source,target
xhervas,xhervas
xhervas,DianaIMaldonado
xhervas,xhervas
xhervas,ecuadorprensaec
xhervas,cnegobec
xhervas,ecuadorprensaec
xhervas,lahoraecuador
xhervas,xhervas
xhervas,mariasolborja
xhervas,RonnyHC20
xhervas,SalaDePrensaEc
xhervas,BYRONSANCHEZG
xhervas,XavierBon99
xhervas,silvitabuendia
xhervas,srpichonpichon
xhervas,turcacat
xhervas,XavierBon99
xhervas,silvitabuendia
xhervas,srpichonpichon
xhervas,turcacat
xhervas,AlexdeEdm
xhervas,saulbozabenalc1
xhervas,Lenin62311360
xhervas,marcosdoge
xhervas,cnegobec
xhervas,srpichonpichon
xhervas,turcacat
xhervas,silvitabuendia
xhervas,gabrielcassis
xhervas,migaceya
RoqueOrdone,MashiRafael
RoqueOrdone,ecuarauz
RoqueOrdone,Tranvia_Cuenca
RoqueOrdone,MunicipioCuenca
RoqueOrdone,ecuarauz
RoqueOrdone,ecuarauz
reneitor3,elcomerciocom
reneitor3,paul_av13
reneitor3,xhervas
reneitor3,LassoGuillermo
reneitor3,xhervas
reneitor3,LassoGuillermo
jsburneo,PilaruQUis
CrespoArevalo7,KarliiRR
CrespoArevalo7,Rodrigoperiodis
CrespoArevalo7,manungovaldez
CrespoArevalo7,pedromal
CrespoArevalo7,AzuTaxi_
CrespoArevalo7,loregenoveva
CrespoArevalo7,jpachecoe
CrespoArevalo7,fabarevaloj
AP_IEEPN,fmmundo
TaniaCris12,MashiRafael
TaniaCris12,Monchiito_
marco_oquendo,janethinostroza
marco_oquendo,dcabellor
marco_oquendo,PatricioAlarco2
marco_oquendo,cnegobec
marco_oquendo,rabascal
marco_oquendo,cesarlitardo
marco_oquendo,maemontanov
marco_oquendo,AsambleaEcuador
marco_oquendo,marquinhoa
marco_oquendo,AbAlvaroNoboa
marco_oquendo,lizvalarezo
marco_oquendo,pjfreile
Galoenquito,TAVODEPONCE
Galoenquito,isidroromero_c
Galoenquito,eduizurieta1
fredylobato,angelrafaEG
fredylobato,CineOrquidea
fredylobato,ChechiAlvarado
fredylobato,djaramillob
fredylobato,xhervas
fredylobato,pjfreile
fredylobato,christian_16ec
fredylobato,DianaIMaldonado
fredylobato,UNESCO_es
fredylobato,carlos_e_flores
fredylobato,angelrafaEG
fredylobato,RuthdelSalto
fredylobato,fredylobato
fredylobato,GuevPedro
fredylobato,FEquidad
fredylobato,fredylobato
fredylobato,SalimZaidan
fredylobato,xhervas
fredylobato,GKecuador
fredylobato,DianaIMaldonado
fredylobato,cnegobec
fredylobato,fredylobato
fredylobato,yali_loaiza
fredylobato,christian_16ec
fredylobato,FEquidad
fredylobato,rosannaoficial
fredylobato,ChezkoArguero
fredylobato,rodolfoasar
fredylobato,FEquidad
fredylobato,christian_16ec
fredylobato,vladycruz
fredylobato,emilio_braveman
fredylobato,ecopiniones
fredylobato,ecuarauz
JustefytaLover,VirusTota
JustefytaLover,gabyc0908
belenproanio,danielec7
Paoaladina,RuthdelSalto
Paoaladina,ajungbluth
Paoaladina,TheMerryPie1
Paoaladina,TheMerryPie1
Paoaladina,dieguitocazar
Paoaladina,malulyoliva
richardpr8,ecuarauz
richardpr8,wilfridolaz
richardpr8,BrunoFelipeO9
richardpr8,amandinhamarton
richardpr8,Lenin
richardpr8,piedypv
richardpr8,RuthdelSalto
richardpr8,ecuarauz
richardpr8,jpjaramillo25
richardpr8,ecuarauz
richardpr8,monadeurdesa
richardpr8,juanfervelasco
richardpr8,ecuarauz
richardpr8,KinttoLucas
richardpr8,wilfridolaz
richardpr8,yakuperezg
richardpr8,mrjohnkeating
richardpr8,ecuarauz
richardpr8,mrjohnkeating
richardpr8,literatango
richardpr8,amandaasubiar
richardpr8,DrDavidMenendez
richardpr8,IsmaelUlloaEc
richardpr8,wilfridolaz
richardpr8,juanfervelasco
richardpr8,ecuarauz
richardpr8,jpjaramillo25
richardpr8,MaiadelC
richardpr8,angelargocom
richardpr8,MaiadelC
richardpr8,angiegomeza
ASandovalEC,RoberCastillo_A
juansleony,PaulCarrascoC
juansleony,LucioGutierrez3
juansleony,GersonAlmeidaEc
juansleony,guillen_blanchy
juansleony,LassoGuillermo
juansleony,isidroromero_c
juansleony,isidroromero_c
estemandejulio,xhervas
estemandejulio,Karnecita
estemandejulio,JoseduVeliz79
estemandejulio,JoseduVeliz79
estemandejulio,ajungbluth
estemandejulio,mbff87
estemandejulio,JoseduVeliz79
estemandejulio,revistavistazo
estemandejulio,salatihel_ec
estemandejulio,Guayaco__2020
estemandejulio,vkarauz
estemandejulio,monicabanegasc
estemandejulio,xhervas
estemandejulio,jpjaramillo25
estemandejulio,LassoGuillermo
estemandejulio,carlosluis22m
estemandejulio,LassoGuillermo
estemandejulio,klevilla
GuillermoCeli,verosevillaec
GuillermoCeli,verosevillaec
GuillermoCeli,verosevillaec
GuillermoCeli,verosevillaec
GuillermoCeli,ecuarauz
fdavaloso,LOCOTEF
fdavaloso,VirusTota
fdavaloso,JacoboG_Ecu
fdavaloso,KarenAponteS
fdavaloso,carlosrojasecu
fdavaloso,Josei_Vm
fdavaloso,franciscoxloza
fdavaloso,Erbm98
fdavaloso,Erbm98
fdavaloso,acdavalost
fdavaloso,SalimZaidan
fdavaloso,Juaniturralde70
fdavaloso,turcacat
fdavaloso,FRM87
afmerchan,jviscarr
Ricardoc_85,yakuperezg
Ricardoc_85,PatricioJijonL1
Ricardoc_85,vhibague
Ricardoc_85,LassoGuillermo
Ricardoc_85,BancoGuayaquil
Ricardoc_85,ecuadortr
IsAvellan,yakuperezg
IsAvellan,yakuperezg
IsAvellan,yakuperezg
cecipachay1,RuthdelSalto
cecipachay1,ecuarauz
cecipachay1,ecuarauz
cecipachay1,amandaasubiar
cecipachay1,alfonso69349391
cecipachay1,Pibismrevoluti1
cecipachay1,JonathanJo3star
cecipachay1,karitupl_
cecipachay1,wilfridolaz
cecipachay1,wilfridolaz
cecipachay1,tioelmoi
cecipachay1,CarlitosGros
cecipachay1,ecuarauz
cecipachay1,pichinchauniver
cecipachay1,LassoGuillermo
cecipachay1,CarlosVerareal
cecipachay1,cnegobec
cecipachay1,64W48
cecipachay1,literatango
cecipachay1,marcelaguinaga
cecipachay1,cristinajacomee
cecipachay1,MashiRafael
cecipachay1,LassoGuillermo
cecipachay1,ecuarauz
cecipachay1,SomoSpumilla
cecipachay1,LassoGuillermo
cecipachay1,Intavit_A
cecipachay1,lizzhingri
cecipachay1,wilfridolaz
cecipachay1,LeoOrlandoA
cecipachay1,Fressiav
cecipachay1,goloor1906
cecipachay1,AndreinaRuizG
cecipachay1,DiegoArcos14
cecipachay1,MashiRafael
ByCaiP,chris_monbarce
ByCaiP,chris_monbarce
ByCaiP,luisantonio_r
ByCaiP,LassoGuillermo
ByCaiP,teleamazonasec
ByCaiP,chris_monbarce
ByCaiP,pabloiturralder
ByCaiP,chris_monbarce
ByCaiP,pabloiturralder
ByCaiP,chris_monbarce
ByCaiP,pabloiturralder
ByCaiP,chris_monbarce
ByCaiP,pabloiturralder
ByCaiP,MrLinkEc
ByCaiP,dieguitocazar
IsraHerreraB,yakuperezg
DGianella_,MashiRafael
DGianella_,Nando2694
adolfolivares,Blankimonki
adolfolivares,ecuarauz
adolfolivares,cnegobec
adolfolivares,ecuarauz
adolfolivares,FCBarcelona_cat
ismaelbritoc,MashiRafael
ismaelbritoc,Dletrius
ismaelbritoc,cispardo
ismaelbritoc,MashiRafael
monygo83,tichervirtual
monygo83,luisantonio_r
monygo83,LassoGuillermo
monygo83,teleamazonasec
soy_tibi,ecuarauz
soy_tibi,ecuarauz
soy_tibi,MashiRafael
soy_tibi,MashiRafael
soy_tibi,ecuarauz
soy_tibi,pjfreile
soy_tibi,cnegobec
soy_tibi,cnegobec
soy_tibi,ecuarauz
soy_tibi,ecuarauz
cameegs9,mjmv_96
fabianv58769750,estebanavila
fabianv58769750,Cascabelito09
fabianv58769750,MagdaRoblesL
fabianv58769750,ecuarauz
fabianv58769750,MashiRafael
fabianv58769750,tctelevision
fabianv58769750,NicolasMaduro
fabianv58769750,CondorECUADOR
fabianv58769750,fausthe1
fabianv58769750,Moni_mc1968
fabianv58769750,pichinchauniver
fabianv58769750,ecuarauz
fabianv58769750,jpjaramillo25
fabianv58769750,MashiRafael
fabianv58769750,luly_alban
fabianv58769750,AndreaLopezUio
fabianv58769750,ecuarauz
fabianv58769750,oro_negro26
fabianv58769750,LassoGuillermo
fabianv58769750,cedatos
fabianv58769750,NuriaButina
fabianv58769750,ecuarauz
fabianv58769750,MashiRafael
fabianv58769750,ecuarauz
fabianv58769750,ecuarauz
fabianv58769750,RodriguezAna_K
fabianv58769750,DianaSierra_2
fabianv58769750,ecuarauz
fabianv58769750,juanfervelasco
fabianv58769750,joa_quiin
