Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
RoqueOrdone,,,16,0.119336,0.145172,0,4,0,4,4
Tranvia_Cuenca,,,0,0,0,0,4,1,0,1
MunicipioCuenca,,,0,0,0,0,4,1,0,1
reneitor3,,,19,0.119775,0.170157,0,26,0,4,4
paul_av13,,,0,0,0,0,26,1,0,1
jsburneo,,,1,1,1,0,10,0,1,1
PilaruQUis,,,0,0,0,0,10,1,0,1
CrespoArevalo7,,,21,0.110454,0.157684,0,181,0,8,8
KarliiRR,,,20,0.116974,0.164468,15946.483649,181,20,5,25
Rodrigoperiodis,,,21,0.10418,0.159772,3403.892857,181,6,13,19
manungovaldez,,,22,0.094416,0.129465,6,181,5,5,10
pedromal,,,0,0,0,0,181,4,0,4
AzuTaxi_,,,0,0,0,0,181,3,0,3
loregenoveva,,,0,0,0,0,181,5,0,5
jpachecoe,,,0,0,0,0,181,3,0,3
fabarevaloj,,,0,0,0,0,181,5,0,5
AP_IEEPN,,,1,1,1,0,137,0,1,1
TaniaCris12,,,16,0.139897,0.171986,0,181,0,2,2
Monchiito_,,,20,0.117078,0.168367,112733.513743,181,209,7,216
marco_oquendo,,,21,0.095386,0.129795,0,3,0,12,12
janethinostroza,,,0,0,0,0,137,10,0,10
dcabellor,,,0,0,0,0,3,2,0,2
PatricioAlarco2,,,0,0,0,0,27,71,1,72
rabascal,,,0,0,0,0,3,1,0,1
maemontanov,,,0,0,0,0,3,1,0,1
marquinhoa,,,0,0,0,0,3,3,1,4
lizvalarezo,,,0,0,0,0,137,4,0,4
Galoenquito,,,4,0.470588,0.614583,22808.883738,181,92,3,95
TAVODEPONCE,,,3,0.5,0.583333,9990.868262,181,1,1,2
eduizurieta1,,,0,0,0,0,181,5,0,5
fredylobato,,,17,0.14241,0.228772,104290.635261,7,5,25,30
angelrafaEG,,,18,0.133795,0.228533,239566.874107,7,11,30,41
CineOrquidea,,,0,0,0,0,7,1,0,1
ChechiAlvarado,,,0,0,0,0,9,5,0,5
djaramillob,,,16,0.143372,0.191997,8370.876916,7,3,4,7
